LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DECISION_DENSITY,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,Defective
6.0,9.0,2.0,1.0,.0,16.0,5.0,.2,8.0,2.0,3.0,.6,17.0,1.0,.0,24.0,3.0,32.5,9.5,2936.8,.1,63.0,.1,163.2,309.1,.2,4.0,8.0,14.0,.2,19.0,44.0,15.0,15.0,32.0,4.0,25.0,N
15.0,7.0,3.0,1.0,19.0,12.0,4.0,.1,6.0,2.0,2.0,.5,17.0,1.0,.0,31.0,1.0,38.6,21.5,17846.2,.3,141.0,.1,991.5,829.5,.3,3.0,6.0,15.0,.1,51.0,90.0,32.0,27.0,67.0,39.2,32.0,Y
27.0,9.0,1.0,4.0,22.0,16.0,5.0,.2,8.0,2.0,3.0,.6,18.0,1.0,.0,29.0,.0,52.0,12.3,7914.7,.2,111.0,.1,439.7,641.7,.2,4.0,8.0,15.0,.1,37.0,74.0,33.0,22.0,83.0,47.3,33.0,Y
7.0,3.0,2.0,.0,.0,4.0,2.0,.2,2.0,2.0,2.0,1.0,6.0,1.0,.0,12.0,2.0,14.6,6.4,604.4,.0,23.0,.2,33.6,94.0,.5,1.0,2.0,6.0,.1,9.0,14.0,7.0,10.0,20.0,.0,12.0,N
51.0,25.0,13.0,.0,14.0,48.0,13.0,.1,24.0,2.0,11.0,.9,96.0,1.0,.0,106.0,2.0,101.3,27.0,74089.9,.9,421.0,.0,4116.1,2739.8,.1,12.0,24.0,85.0,.1,192.0,229.0,71.0,20.0,172.0,11.7,106.0,N
3.0,5.0,2.0,.0,.0,8.0,3.0,.2,4.0,2.0,3.0,1.0,12.0,1.0,.0,15.0,1.0,8.2,18.0,2648.7,.1,36.0,.1,147.2,147.2,.3,2.0,4.0,11.0,.2,15.0,21.0,5.0,12.0,19.0,.0,15.0,N
13.0,9.0,5.0,12.0,16.0,16.0,5.0,.1,8.0,2.0,5.0,1.0,21.0,5.0,1.0,25.0,4.0,38.5,14.3,7820.9,.2,107.0,.1,434.5,548.8,1.0,4.0,8.0,18.0,.1,38.0,69.0,20.0,15.0,67.0,52.8,37.0,N
22.0,29.0,.0,8.0,35.0,44.0,15.0,.3,16.0,2.8,1.0,.1,45.0,3.0,.1,46.0,.0,61.1,22.3,30378.0,.5,239.0,.0,1687.7,1362.4,.2,14.0,22.0,32.0,.1,110.0,129.0,37.0,15.0,112.0,48.3,54.0,N
16.0,9.0,2.0,11.0,28.0,12.0,5.0,.1,4.0,3.0,1.0,.2,21.0,5.0,1.0,34.0,2.0,41.2,20.8,17773.1,.3,155.0,.1,987.4,856.2,1.0,4.0,6.0,18.0,.1,59.0,96.0,27.0,19.0,90.0,53.4,45.0,N
4.0,3.0,.0,2.0,4.0,4.0,2.0,.2,2.0,2.0,1.0,.5,6.0,1.0,.0,10.0,1.0,15.9,9.0,1287.6,.1,35.0,.1,71.5,143.1,.5,1.0,2.0,6.0,.1,16.0,19.0,8.0,9.0,21.0,37.5,12.0,N
23.0,13.0,.0,10.0,17.0,24.0,7.0,.2,12.0,2.0,1.0,.1,27.0,5.0,.7,23.0,3.0,27.4,28.1,21659.6,.3,157.0,.0,1203.3,770.4,.7,6.0,12.0,22.0,.1,43.0,114.0,13.0,17.0,74.0,54.0,33.0,N
23.0,13.0,.0,10.0,17.0,24.0,7.0,.2,12.0,2.0,1.0,.1,27.0,5.0,.7,23.0,3.0,17.5,27.2,12929.9,.2,105.0,.0,718.3,475.0,.7,6.0,12.0,22.0,.1,35.0,70.0,9.0,14.0,74.0,54.0,33.0,N
40.0,9.0,4.0,2.0,15.0,16.0,5.0,.2,8.0,2.0,2.0,.4,21.0,1.0,.0,31.0,.0,47.4,27.5,35852.6,.4,231.0,.0,1991.8,1303.7,.2,4.0,8.0,18.0,.1,70.0,161.0,28.0,22.0,89.0,35.4,33.0,N
23.0,9.0,6.0,3.0,20.0,16.0,5.0,.2,8.0,2.0,2.0,.4,23.0,1.0,.0,24.0,.0,43.1,15.2,9958.0,.2,120.0,.1,553.2,655.1,.2,4.0,8.0,20.0,.1,40.0,80.0,25.0,19.0,71.0,48.9,27.0,N
8.0,3.0,1.0,6.0,5.0,4.0,2.0,.1,2.0,2.0,1.0,.5,7.0,1.0,.0,13.0,1.0,29.6,9.2,2481.0,.1,57.0,.1,137.8,271.0,.5,1.0,2.0,7.0,.1,17.0,40.0,13.0,14.0,33.0,45.8,19.0,N
19.0,3.0,1.0,2.0,.0,4.0,2.0,.1,2.0,2.0,2.0,1.0,23.0,1.0,.0,33.0,.0,64.0,11.7,8685.0,.3,135.0,.1,482.5,745.7,.5,1.0,2.0,23.0,.0,66.0,69.0,34.0,12.0,55.0,5.7,35.0,N
6.0,7.0,.0,6.0,.0,10.0,4.0,.2,4.0,2.5,1.0,.3,13.0,4.0,1.0,21.0,1.0,21.3,24.4,12749.0,.2,98.0,.0,708.3,521.5,1.0,3.0,5.0,11.0,.1,40.0,58.0,18.0,22.0,34.0,22.2,27.0,N
134.0,60.0,9.0,63.0,31.0,38.0,41.0,.2,16.0,2.4,23.0,.6,118.0,6.0,.1,177.0,5.0,101.8,54.8,305928.6,1.9,767.0,.0,16996.0,5580.8,.2,11.0,19.0,79.0,.1,268.0,499.0,110.0,45.0,406.0,34.7,240.0,N
9.0,8.0,2.0,4.0,5.0,8.0,5.0,.3,4.0,2.0,3.0,.6,14.0,1.0,.0,14.0,.0,12.4,15.0,2782.0,.1,41.0,.1,154.6,185.5,.2,2.0,4.0,11.0,.2,16.0,25.0,8.0,15.0,33.0,39.1,18.0,N
164.0,110.0,26.0,37.0,191.0,128.0,70.0,.2,54.0,2.4,46.0,.7,241.0,27.0,.4,361.0,1.0,157.0,97.7,1499684.3,5.1,1844.0,.0,83315.8,15345.6,.4,37.0,66.0,173.0,.1,711.0,1133.0,251.0,69.0,764.0,38.7,398.0,N
27.0,24.0,11.0,3.0,48.0,34.0,13.0,.2,14.0,2.4,10.0,.8,53.0,7.0,.5,76.0,1.0,60.5,32.2,62767.7,.7,298.0,.0,3487.1,1948.7,.5,10.0,19.0,42.0,.1,102.0,196.0,57.0,36.0,155.0,40.2,79.0,N
5.0,5.0,1.0,.0,.0,8.0,3.0,.2,4.0,2.0,3.0,1.0,10.0,1.0,.0,20.0,1.0,34.2,10.3,3620.9,.1,71.0,.1,201.2,351.8,.3,2.0,4.0,9.0,.1,25.0,46.0,17.0,14.0,26.0,.0,20.0,N
7.0,9.0,3.0,4.0,5.0,14.0,5.0,.2,6.0,2.3,3.0,.6,20.0,3.0,.5,27.0,.0,24.7,21.9,11802.9,.2,108.0,.1,655.7,540.0,.6,4.0,7.0,17.0,.1,34.0,74.0,14.0,18.0,44.0,25.0,31.0,N
16.0,5.0,7.0,2.0,24.0,8.0,3.0,.2,4.0,2.0,3.0,1.0,15.0,1.0,.0,15.0,1.0,36.2,7.2,1867.9,.1,52.0,.1,103.8,260.0,.3,2.0,4.0,14.0,.1,21.0,31.0,19.0,13.0,58.0,63.4,17.0,N
15.0,7.0,3.0,3.0,8.0,12.0,4.0,.3,6.0,2.0,4.0,1.0,15.0,1.0,.0,13.0,.0,26.8,11.0,3253.7,.1,59.0,.1,180.8,295.0,.3,3.0,6.0,13.0,.1,25.0,34.0,17.0,15.0,40.0,45.8,16.0,N
19.0,5.0,4.0,2.0,16.0,8.0,3.0,.1,4.0,2.0,3.0,1.0,14.0,1.0,.0,25.0,1.0,48.5,14.1,9649.3,.2,120.0,.1,536.1,684.1,.3,2.0,4.0,13.0,.0,49.0,71.0,33.0,19.0,70.0,41.9,27.0,N
19.0,7.0,5.0,5.0,10.0,12.0,4.0,.2,6.0,2.0,4.0,1.0,15.0,4.0,1.0,22.0,1.0,28.4,13.4,5120.9,.1,75.0,.1,284.5,381.6,1.0,3.0,6.0,13.0,.1,34.0,41.0,19.0,15.0,57.0,40.5,27.0,N
15.0,11.0,4.0,5.0,19.0,20.0,6.0,.2,10.0,2.0,4.0,.7,23.0,1.0,.0,28.0,2.0,30.6,23.1,16332.1,.2,128.0,.0,907.3,707.0,.2,5.0,10.0,19.0,.1,55.0,73.0,25.0,21.0,75.0,46.2,33.0,N
13.0,3.0,1.0,3.0,18.0,4.0,2.0,.1,2.0,2.0,2.0,1.0,6.0,1.0,.0,18.0,2.0,25.6,24.4,15282.0,.2,122.0,.0,849.0,625.8,.5,1.0,2.0,6.0,.0,58.0,64.0,19.0,16.0,53.0,53.9,21.0,N
14.0,9.0,3.0,2.0,20.0,16.0,5.0,.2,8.0,2.0,3.0,.6,21.0,1.0,.0,24.0,1.0,27.1,39.7,42716.4,.4,197.0,.0,2373.1,1075.5,.2,4.0,8.0,18.0,.1,87.0,110.0,23.0,21.0,68.0,47.8,26.0,N
12.0,9.0,4.0,2.0,12.0,16.0,5.0,.1,8.0,2.0,5.0,1.0,22.0,1.0,.0,38.0,1.0,54.4,19.3,20172.8,.4,176.0,.1,1120.7,1047.9,.2,4.0,8.0,19.0,.1,70.0,106.0,40.0,22.0,73.0,26.9,40.0,N
23.0,9.0,5.0,10.0,9.0,16.0,5.0,.1,8.0,2.0,5.0,1.0,21.0,5.0,1.0,31.0,1.0,54.6,14.8,12009.6,.3,140.0,.1,667.2,809.4,1.0,4.0,8.0,18.0,.1,61.0,79.0,37.0,18.0,74.0,38.0,41.0,N
155.0,71.0,5.0,14.0,170.0,122.0,37.0,.2,58.0,2.1,26.0,.7,148.0,21.0,.6,196.0,1.0,127.7,71.5,653537.1,3.1,1177.0,.0,36307.6,9135.4,.6,32.0,61.0,113.0,.1,454.0,723.0,165.0,52.0,536.0,48.4,210.0,Y
42.0,11.0,10.0,5.0,44.0,20.0,6.0,.2,10.0,2.0,6.0,1.0,30.0,1.0,.0,32.0,.0,53.3,12.9,8852.8,.2,123.0,.1,491.8,687.0,.2,5.0,10.0,26.0,.1,47.0,76.0,31.0,17.0,124.0,60.5,37.0,N
30.0,19.0,5.0,6.0,45.0,36.0,10.0,.1,18.0,2.0,9.0,.9,48.0,8.0,.8,71.0,1.0,46.2,27.1,33930.4,.4,211.0,.0,1885.0,1251.4,.8,9.0,18.0,40.0,.1,73.0,138.0,35.0,26.0,153.0,41.8,77.0,Y
9.0,3.0,2.0,.0,7.0,4.0,2.0,.1,2.0,2.0,2.0,1.0,6.0,1.0,.0,15.0,.0,27.1,14.3,5493.4,.1,74.0,.1,305.2,385.5,.5,1.0,2.0,6.0,.1,27.0,47.0,18.0,19.0,32.0,31.8,15.0,Y
26.0,17.0,4.0,5.0,32.0,28.0,9.0,.1,12.0,2.3,6.0,.7,39.0,4.0,.4,62.0,2.0,97.5,20.9,42622.0,.7,314.0,.1,2367.9,2038.4,.4,8.0,14.0,32.0,.1,115.0,199.0,66.0,24.0,126.0,37.4,67.0,N
40.0,11.0,12.0,3.0,47.0,20.0,6.0,.1,10.0,2.0,5.0,.8,40.0,1.0,.0,41.0,.0,61.6,17.0,17733.6,.4,177.0,.1,985.2,1045.5,.2,5.0,10.0,36.0,.1,63.0,114.0,39.0,21.0,132.0,55.0,44.0,N
7.0,7.0,2.0,.0,8.0,12.0,4.0,.2,6.0,2.0,1.0,.3,16.0,1.0,.0,25.0,.0,31.7,15.0,7125.0,.2,95.0,.1,395.8,475.0,.3,3.0,6.0,14.0,.1,30.0,65.0,16.0,16.0,41.0,24.2,25.0,N
93.0,25.0,10.0,11.0,57.0,48.0,13.0,.1,24.0,2.0,12.0,.9,69.0,1.0,.0,143.0,1.0,175.2,28.5,142535.3,1.7,695.0,.0,7918.6,4996.9,.1,12.0,24.0,58.0,.0,290.0,405.0,122.0,24.0,305.0,32.2,154.0,Y
9.0,5.0,3.0,2.0,2.0,8.0,3.0,.2,4.0,2.0,3.0,1.0,11.0,1.0,.0,17.0,.0,36.7,14.6,7799.9,.2,102.0,.1,433.3,535.3,.3,2.0,4.0,10.0,.1,36.0,66.0,21.0,17.0,31.0,19.1,19.0,N
12.0,7.0,2.0,2.0,2.0,12.0,4.0,.2,6.0,2.0,4.0,1.0,14.0,1.0,.0,18.0,1.0,54.3,7.9,3382.9,.1,80.0,.1,187.9,428.6,.3,3.0,6.0,12.0,.1,34.0,46.0,28.0,13.0,35.0,18.2,20.0,N
31.0,11.0,5.0,7.0,30.0,20.0,6.0,.2,10.0,2.0,5.0,.8,26.0,1.0,.0,33.0,.0,53.6,18.5,18269.6,.3,172.0,.1,1015.0,989.8,.2,5.0,10.0,22.0,.1,68.0,104.0,35.0,19.0,102.0,52.9,40.0,Y
62.0,7.0,3.0,7.0,46.0,12.0,4.0,.0,6.0,2.0,4.0,1.0,15.0,1.0,.0,92.0,.0,234.0,26.6,166113.9,2.1,822.0,.0,9228.6,6234.8,.3,3.0,6.0,13.0,.0,373.0,449.0,168.0,24.0,215.0,36.6,99.0,Y
36.0,13.0,5.0,6.0,14.0,24.0,7.0,.1,12.0,2.0,7.0,1.0,30.0,1.0,.0,44.0,.0,79.0,22.1,38620.3,.6,269.0,.1,2145.6,1746.3,.1,6.0,12.0,25.0,.1,115.0,154.0,65.0,25.0,101.0,31.3,50.0,Y
39.0,13.0,7.0,4.0,28.0,24.0,7.0,.1,12.0,2.0,7.0,1.0,33.0,1.0,.0,48.0,1.0,124.4,13.9,24028.8,.6,262.0,.1,1334.9,1729.2,.1,6.0,12.0,28.0,.1,107.0,155.0,77.0,20.0,120.0,40.0,52.0,N
77.0,19.0,6.0,4.0,31.0,36.0,10.0,.1,18.0,2.0,10.0,1.0,69.0,1.0,.0,127.0,1.0,208.0,26.3,143936.4,1.8,753.0,.0,7996.5,5471.9,.1,9.0,18.0,61.0,.0,259.0,494.0,128.0,26.0,240.0,21.6,131.0,N
55.0,7.0,9.0,.0,23.0,12.0,4.0,.2,6.0,2.0,4.0,1.0,19.0,1.0,.0,21.0,.0,51.3,7.6,2991.4,.1,77.0,.1,166.2,391.7,.3,3.0,6.0,17.0,.0,28.0,49.0,22.0,12.0,100.0,52.3,21.0,N
17.0,23.0,2.0,.0,34.0,42.0,12.0,.2,20.0,2.1,8.0,.7,46.0,3.0,.2,65.0,.0,108.8,15.2,25107.6,.6,263.0,.1,1394.9,1653.1,.3,11.0,21.0,36.0,.1,109.0,154.0,61.0,17.0,117.0,34.3,65.0,N
12.0,3.0,2.0,1.0,8.0,4.0,2.0,.1,2.0,2.0,2.0,1.0,6.0,1.0,.0,32.0,.0,68.4,18.8,24116.9,.4,214.0,.1,1339.8,1284.0,.5,1.0,2.0,6.0,.0,96.0,118.0,46.0,18.0,54.0,22.0,33.0,N
13.0,9.0,7.0,1.0,20.0,16.0,5.0,.2,8.0,2.0,5.0,1.0,20.0,1.0,.0,23.0,.0,30.2,7.9,1858.3,.1,51.0,.1,103.2,236.8,.2,4.0,8.0,17.0,.1,17.0,34.0,13.0,12.0,58.0,47.7,24.0,N
3.0,3.0,.0,1.0,6.0,4.0,2.0,.2,2.0,2.0,1.0,.5,5.0,1.0,.0,8.0,1.0,10.6,3.8,149.5,.0,12.0,.3,8.3,39.9,.5,1.0,2.0,5.0,.1,5.0,7.0,4.0,6.0,19.0,46.7,9.0,N
22.0,19.0,8.0,1.0,1.0,28.0,11.0,.2,14.0,2.0,9.0,.8,55.0,10.0,.9,63.0,2.0,40.2,43.2,75170.0,.6,292.0,.0,4176.1,1738.6,.9,7.0,14.0,46.0,.1,105.0,187.0,34.0,28.0,88.0,3.1,64.0,N
12.0,7.0,4.0,1.0,.0,12.0,4.0,.2,6.0,2.0,4.0,1.0,19.0,4.0,1.0,22.0,2.0,30.3,10.7,3467.2,.1,66.0,.1,192.6,323.9,1.0,3.0,6.0,17.0,.1,28.0,38.0,17.0,13.0,36.0,4.4,23.0,N
15.0,13.0,4.0,1.0,1.0,24.0,7.0,.2,12.0,2.0,6.0,.9,39.0,1.0,.0,36.0,2.0,34.4,26.5,24176.7,.3,168.0,.0,1343.2,911.6,.1,6.0,12.0,34.0,.1,67.0,101.0,24.0,19.0,54.0,5.3,37.0,N
5.0,3.0,1.0,1.0,2.0,4.0,2.0,.1,2.0,2.0,2.0,1.0,21.0,1.0,.0,23.0,2.0,56.7,6.1,2126.0,.1,73.0,.2,118.1,347.1,.5,1.0,2.0,21.0,.1,35.0,38.0,20.0,7.0,32.0,11.5,24.0,N
12.0,9.0,3.0,1.0,1.0,16.0,5.0,.2,8.0,2.0,4.0,.8,19.0,5.0,1.0,20.0,2.0,23.8,11.5,3151.2,.1,57.0,.1,175.1,274.0,1.0,4.0,8.0,16.0,.1,23.0,34.0,14.0,14.0,35.0,9.1,21.0,N
9.0,7.0,3.0,4.0,.0,12.0,4.0,.2,6.0,2.0,4.0,1.0,17.0,4.0,1.0,17.0,2.0,26.8,10.4,2899.8,.1,58.0,.1,161.1,278.8,1.0,3.0,6.0,15.0,.1,24.0,34.0,15.0,13.0,31.0,19.1,21.0,N
27.0,27.0,7.0,3.0,1.0,44.0,15.0,.2,22.0,2.0,12.0,.8,66.0,8.0,.5,73.0,2.0,36.4,50.4,92351.0,.6,299.0,.0,5130.6,1832.7,.5,11.0,22.0,53.0,.1,113.0,186.0,37.0,33.0,105.0,5.2,76.0,N
7.0,3.0,1.0,4.0,1.0,4.0,2.0,.2,2.0,2.0,2.0,1.0,6.0,1.0,.0,6.0,2.0,16.4,3.5,200.8,.0,16.0,.3,11.2,57.4,.5,1.0,2.0,6.0,.1,5.0,11.0,5.0,7.0,19.0,45.5,10.0,N
10.0,7.0,5.0,5.0,1.0,12.0,4.0,.2,6.0,2.0,3.0,.8,21.0,1.0,.0,17.0,2.0,31.1,12.1,4520.8,.1,75.0,.1,251.2,375.0,.3,3.0,6.0,19.0,.1,31.0,44.0,18.0,14.0,34.0,26.1,22.0,N
22.0,23.0,7.0,3.0,1.0,36.0,13.0,.2,18.0,2.0,9.0,.7,59.0,9.0,.7,64.0,2.0,39.5,43.3,74124.4,.6,283.0,.0,4118.0,1710.6,.7,9.0,18.0,48.0,.1,104.0,179.0,36.0,30.0,91.0,5.9,67.0,N
3.0,7.0,1.0,.0,.0,10.0,4.0,.2,4.0,2.5,2.0,.5,12.0,4.0,1.0,20.0,1.0,13.5,16.0,3447.9,.1,47.0,.1,191.6,215.5,1.0,3.0,5.0,10.0,.2,16.0,31.0,8.0,16.0,24.0,.0,20.0,N
3.0,11.0,1.0,.0,.0,16.0,6.0,.3,6.0,2.7,2.0,.3,18.0,6.0,1.0,24.0,1.0,20.0,17.3,5999.6,.1,72.0,.1,333.3,346.1,1.0,5.0,8.0,14.0,.2,26.0,46.0,12.0,16.0,28.0,.0,24.0,N
3.0,11.0,1.0,.0,.0,16.0,6.0,.3,6.0,2.7,2.0,.3,18.0,6.0,1.0,24.0,1.0,20.0,17.3,5999.6,.1,72.0,.1,333.3,346.1,1.0,5.0,8.0,14.0,.2,26.0,46.0,12.0,16.0,28.0,.0,24.0,N
.0,5.0,.0,.0,.0,6.0,3.0,.3,2.0,3.0,1.0,.3,8.0,3.0,1.0,9.0,1.0,14.7,4.8,337.5,.0,19.0,.2,18.8,70.3,1.0,2.0,3.0,7.0,.3,6.0,13.0,5.0,8.0,10.0,.0,9.0,N
.0,9.0,.0,.0,.0,10.0,5.0,.6,2.0,5.0,1.0,.2,12.0,5.0,1.0,9.0,1.0,19.3,6.4,797.1,.0,31.0,.2,44.3,124.0,1.0,4.0,7.0,9.0,.5,10.0,21.0,7.0,9.0,10.0,.0,9.0,N
.0,5.0,.0,.0,.0,6.0,3.0,.3,2.0,3.0,1.0,.3,8.0,3.0,1.0,9.0,1.0,9.1,10.0,913.8,.0,24.0,.1,50.8,91.4,1.0,2.0,3.0,7.0,.3,8.0,16.0,4.0,10.0,10.0,.0,9.0,N
.0,3.0,.0,.0,.0,4.0,2.0,.1,2.0,2.0,1.0,.5,6.0,1.0,.0,14.0,2.0,36.8,7.1,1839.0,.1,56.0,.1,102.2,260.1,.5,1.0,2.0,6.0,.1,18.0,38.0,14.0,11.0,15.0,.0,14.0,N
39.0,9.0,8.0,9.0,14.0,16.0,5.0,.1,8.0,2.0,5.0,1.0,24.0,1.0,.0,60.0,8.0,97.9,22.1,47876.6,.7,331.0,.1,2659.8,2164.5,.2,4.0,8.0,21.0,.0,114.0,217.0,67.0,26.0,146.0,27.7,69.0,N
9.0,5.0,2.0,10.0,6.0,8.0,3.0,.1,4.0,2.0,3.0,1.0,10.0,1.0,.0,16.0,.0,39.8,9.0,3223.8,.1,73.0,.1,179.1,358.2,.3,2.0,4.0,9.0,.1,27.0,46.0,18.0,12.0,42.0,50.0,26.0,N
4.0,3.0,2.0,.0,4.0,4.0,2.0,.2,2.0,2.0,2.0,1.0,6.0,1.0,.0,12.0,1.0,23.3,6.1,871.6,.1,33.0,.2,48.4,142.6,.5,1.0,2.0,6.0,.1,10.0,23.0,9.0,11.0,21.0,25.0,12.0,N
3.0,3.0,.0,.0,.0,4.0,2.0,.2,2.0,2.0,1.0,.5,6.0,1.0,.0,13.0,2.0,18.1,9.6,1676.3,.1,41.0,.1,93.1,174.2,.5,1.0,2.0,6.0,.1,14.0,27.0,8.0,11.0,17.0,.0,13.0,N
55.0,34.0,25.0,3.0,91.0,12.0,30.0,.2,6.0,2.0,26.0,.9,70.0,1.0,.0,133.0,3.0,54.0,77.5,324260.8,1.4,605.0,.0,18014.5,4185.9,.0,3.0,6.0,42.0,.1,220.0,385.0,71.0,50.0,283.0,41.4,136.0,Y
5.0,3.0,3.0,.0,13.0,4.0,2.0,.1,2.0,2.0,2.0,1.0,7.0,1.0,.0,16.0,3.0,21.2,9.1,1752.4,.1,42.0,.1,97.4,192.6,.5,1.0,2.0,7.0,.1,13.0,29.0,10.0,14.0,35.0,44.8,16.0,N
22.0,7.0,2.0,3.0,5.0,10.0,4.0,.1,4.0,2.5,3.0,.8,12.0,3.0,.7,27.0,3.0,28.8,18.1,9456.3,.2,95.0,.1,525.4,521.7,.8,3.0,5.0,10.0,.1,29.0,66.0,20.0,25.0,58.0,22.9,30.0,N
19.0,9.0,2.0,3.0,15.0,14.0,5.0,.2,6.0,2.3,4.0,.8,16.0,4.0,.8,31.0,3.0,35.0,17.3,10420.8,.2,110.0,.1,578.9,604.1,.8,4.0,7.0,13.0,.1,33.0,77.0,22.0,23.0,69.0,36.7,34.0,N
12.0,9.0,3.0,2.0,28.0,16.0,5.0,.1,8.0,2.0,3.0,.6,19.0,1.0,.0,37.0,2.0,30.9,16.0,7919.0,.2,93.0,.1,440.0,494.9,.2,4.0,8.0,16.0,.1,32.0,61.0,20.0,20.0,80.0,44.8,39.0,N
5.0,7.0,1.0,.0,6.0,10.0,4.0,.2,4.0,2.5,2.0,.5,13.0,3.0,.7,26.0,2.0,38.8,13.2,6756.1,.2,99.0,.1,375.3,511.8,.8,3.0,5.0,11.0,.1,33.0,66.0,20.0,16.0,38.0,18.8,26.0,N
6.0,11.0,1.0,.0,8.0,20.0,6.0,.2,10.0,2.0,3.0,.5,19.0,1.0,.0,34.0,2.0,59.2,12.6,9398.2,.3,135.0,.1,522.1,745.7,.2,5.0,10.0,15.0,.1,43.0,92.0,29.0,17.0,49.0,19.1,34.0,N
21.0,13.0,5.0,2.0,30.0,22.0,7.0,.2,10.0,2.2,5.0,.7,24.0,1.0,.0,31.0,1.0,26.3,23.5,14529.3,.2,126.0,.0,807.2,618.3,.1,6.0,11.0,19.0,.1,47.0,79.0,15.0,15.0,85.0,50.8,33.0,N
7.0,3.0,.0,.0,.0,4.0,2.0,.1,2.0,2.0,1.0,.5,6.0,1.0,.0,15.0,2.0,37.5,7.6,2168.2,.1,60.0,.1,120.5,285.3,.5,1.0,2.0,6.0,.1,19.0,41.0,15.0,12.0,23.0,.0,15.0,N
